"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"30","P10_COMPU","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"31","TRUE","31","34.4","17","37.8","14","31.1","0","NaN","13","56.5","6","31.6","10","37","1","7.7","1","12.5","0","NaN","8","38.1","9","26.5","11","39.3","3","42.9","5","35.7","3","33.3","3","42.9","8","57.1","7","29.2","5","22.7","15","32.6","4","18.2","1","25","11","61.1","0","NaN"
"32","FALSE","59","65.6","28","62.2","31","68.9","0","NaN","10","43.5","13","68.4","17","63","12","92.3","7","87.5","0","NaN","13","61.9","25","73.5","17","60.7","4","57.1","9","64.3","6","66.7","4","57.1","6","42.9","17","70.8","17","77.3","31","67.4","18","81.8","3","75","7","38.9","0","NaN"
"33","Total","90","100","45","100","45","100","0","NaN","23","100","19","100","27","100","13","100","8","100","0","NaN","21","100","34","100","28","100","7","100","14","100","9","100","7","100","14","100","24","100","22","100","46","100","22","100","4","100","18","100","0","NaN"
"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35","P10_1_CEL","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"36","1","19","21.1","10","22.2","9","20","0","NaN","3","13","5","26.3","4","14.8","5","38.5","2","25","0","NaN","5","23.8","8","23.5","5","17.9","1","14.3","2","14.3","1","11.1","4","57.1","2","14.3","7","29.2","3","13.6","7","15.2","6","27.3","3","75","3","16.7","0","NaN"
"37","2","37","41.1","17","37.8","20","44.4","0","NaN","8","34.8","8","42.1","10","37","7","53.8","4","50","0","NaN","7","33.3","16","47.1","11","39.3","3","42.9","9","64.3","3","33.3","1","14.3","5","35.7","10","41.7","9","40.9","23","50","12","54.5","0","0","2","11.1","0","NaN"
"38","3","22","24.4","12","26.7","10","22.2","0","NaN","7","30.4","6","31.6","7","25.9","1","7.7","1","12.5","0","NaN","6","28.6","6","17.6","7","25","3","42.9","2","14.3","4","44.4","1","14.3","4","28.6","4","16.7","7","31.8","11","23.9","3","13.6","1","25","7","38.9","0","NaN"
"39","4 o más","12","13.3","6","13.3","6","13.3","0","NaN","5","21.7","0","0","6","22.2","0","0","1","12.5","0","NaN","3","14.3","4","11.8","5","17.9","0","0","1","7.1","1","11.1","1","14.3","3","21.4","3","12.5","3","13.6","5","10.9","1","4.5","0","0","6","33.3","0","NaN"
