"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61","NA62","NA63","NA64","NA65","NA66","NA67","NA68","NA69","NA70","NA71","NA72","NA73","NA74","NA75"
"406","P16_J_CELULAR_O_r_m_sica","76","22.6","76","22.6","0","NaN","4","44.4","72","22","2","14.3","74","23","0","NaN","76","22.6","5","12.2","71","24.1","18","27.7","58","21.4","36","20.6","40","24.8","0","NaN","14","23","19","26","21","24.4","15","22.1","7","14.6","0","NaN","3","8.8","26","16.1","39","33.3","8","33.3","8","11.4","14","27.5","6","18.2","19","38","12","18.2","17","25.8","62","21.8","0","0","13","27.7","1","33.3","0","NaN"
"407","P16_J_CELULAR_Buscar__informaci_n","27","8","27","8","0","NaN","3","33.3","24","7.3","0","0","27","8.4","0","NaN","27","8","2","4.9","25","8.5","7","10.8","20","7.4","16","9.1","11","6.8","0","NaN","7","11.5","7","9.6","7","8.1","5","7.4","1","2.1","0","NaN","0","0","10","6.2","14","12","3","12.5","1","1.4","1","2","4","12.1","7","14","6","9.1","8","12.1","21","7.4","0","0","6","12.8","0","0","0","NaN"
"408","P16_J_CELULAR_Tomar_fotos","55","16.4","55","16.4","0","NaN","2","22.2","53","16.2","5","35.7","50","15.5","0","NaN","55","16.4","4","9.8","51","17.3","9","13.8","46","17","30","17.1","25","15.5","0","NaN","15","24.6","12","16.4","11","12.8","10","14.7","7","14.6","0","NaN","1","2.9","23","14.3","23","19.7","8","33.3","9","12.9","6","11.8","8","24.2","16","32","6","9.1","10","15.2","46","16.2","0","0","9","19.1","0","0","0","NaN"
"409","P16_J_CELULAR_Mandar_mails","15","4.5","15","4.5","0","NaN","2","22.2","13","4","0","0","15","4.7","0","NaN","15","4.5","0","0","15","5.1","3","4.6","12","4.4","11","6.3","4","2.5","0","NaN","3","4.9","4","5.5","4","4.7","3","4.4","1","2.1","0","NaN","0","0","5","3.1","9","7.7","1","4.2","2","2.9","0","0","4","12.1","5","10","0","0","4","6.1","13","4.6","0","0","2","4.3","0","0","0","NaN"
"410","P16_J_CELULAR_Ver__TV","11","3.3","11","3.3","0","NaN","1","11.1","10","3.1","0","0","11","3.4","0","NaN","11","3.3","2","4.9","9","3.1","3","4.6","8","3","8","4.6","3","1.9","0","NaN","1","1.6","1","1.4","3","3.5","4","5.9","2","4.2","0","NaN","0","0","9","5.6","2","1.7","0","0","6","8.6","0","0","0","0","3","6","2","3","0","0","6","2.1","1","50","4","8.5","0","0","0","NaN"
"411","P16_J_CELULAR_Ver_pel_culas","42","12.5","42","12.5","0","NaN","5","55.6","37","11.3","5","35.7","37","11.5","0","NaN","42","12.5","3","7.3","39","13.2","9","13.8","33","12.2","21","12","21","13","0","NaN","9","14.8","8","11","8","9.3","13","19.1","4","8.3","0","NaN","3","8.8","27","16.8","12","10.3","0","0","10","14.3","7","13.7","3","9.1","10","20","5","7.6","7","10.6","28","9.9","1","50","13","27.7","0","0","0","NaN"
"412","P16_J_CELULAR_Ver_videos","84","25","84","25","0","NaN","5","55.6","79","24.2","4","28.6","80","24.8","0","NaN","84","25","6","14.6","78","26.4","17","26.2","67","24.7","43","24.6","41","25.5","0","NaN","21","34.4","20","27.4","19","22.1","14","20.6","10","20.8","0","NaN","7","20.6","40","24.8","29","24.8","8","33.3","18","25.7","19","37.3","15","45.5","13","26","11","16.7","8","12.1","69","24.3","1","50","14","29.8","0","0","0","NaN"
"413","P16_J_CELULAR_Entrar_a_redes_sociales","22","6.5","22","6.5","0","NaN","2","22.2","20","6.1","2","14.3","20","6.2","0","NaN","22","6.5","3","7.3","19","6.4","1","1.5","21","7.7","11","6.3","11","6.8","0","NaN","5","8.2","5","6.8","5","5.8","4","5.9","3","6.2","0","NaN","0","0","12","7.5","7","6","3","12.5","4","5.7","3","5.9","2","6.1","4","8","2","3","7","10.6","17","6","1","50","4","8.5","0","0","0","NaN"
"414","P16_J_CELULAR_Para_trabajar","3","0.9","3","0.9","0","NaN","0","0","3","0.9","0","0","3","0.9","0","NaN","3","0.9","0","0","3","1","0","0","3","1.1","3","1.7","0","0","0","NaN","1","1.6","0","0","1","1.2","1","1.5","0","0","0","NaN","0","0","1","0.6","1","0.9","1","4.2","0","0","0","0","0","0","1","2","2","3","0","0","1","0.4","0","0","2","4.3","0","0","0","NaN"
"415","P16_J_CELULAR_Para_leer","8","2.4","8","2.4","0","NaN","1","11.1","7","2.1","0","0","8","2.5","0","NaN","8","2.4","0","0","8","2.7","3","4.6","5","1.8","5","2.9","3","1.9","0","NaN","1","1.6","2","2.7","3","3.5","2","2.9","0","0","0","NaN","0","0","3","1.9","3","2.6","2","8.3","0","0","0","0","1","3","2","4","0","0","5","7.6","6","2.1","0","0","2","4.3","0","0","0","NaN"
"416","P16_J_CELULAR_Hacer_tareas___trabajos_____dd","16","4.8","16","4.8","0","NaN","2","22.2","14","4.3","1","7.1","15","4.7","0","NaN","16","4.8","1","2.4","15","5.1","5","7.7","11","4.1","10","5.7","6","3.7","0","NaN","6","9.8","5","6.8","3","3.5","2","2.9","0","0","0","NaN","0","0","6","3.7","8","6.8","2","8.3","0","0","1","2","0","0","8","16","2","3","5","7.6","11","3.9","0","0","5","10.6","0","0","0","NaN"
"417","P16_J_CELULAR_Otra__Especificar","64","19","64","19","0","NaN","1","11.1","63","19.3","0","0","64","19.9","0","NaN","64","19","4","9.8","60","20.3","9","13.8","55","20.3","37","21.1","27","16.8","0","NaN","7","11.5","15","20.5","21","24.4","12","17.6","9","18.8","0","NaN","10","29.4","41","25.5","12","10.3","1","4.2","25","35.7","7","13.7","7","21.2","12","24","6","9.1","7","10.6","58","20.4","1","50","5","10.6","0","0","0","NaN"
"418","Total","336","100","336","100","0","NaN","9","100","327","100","14","100","322","100","0","NaN","336","100","41","100","295","100","65","100","271","100","175","100","161","100","0","NaN","61","100","73","100","86","100","68","100","48","100","0","NaN","34","100","161","100","117","100","24","100","70","100","51","100","33","100","50","100","66","100","66","100","284","100","2","100","47","100","3","100","0","NaN"
"419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"420","P16j_TABLET","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"421","P16_J_TABLET_Hablar_por_tel_fono","1","9.1","0","0","1","50","1","9.1","0","NaN","0","0","1","10","0","NaN","1","9.1","0","NaN","1","9.1","0","0","1","12.5","0","0","1","16.7","0","NaN","0","0","0","0","0","NaN","1","25","0","NaN","0","NaN","0","NaN","0","0","1","20","0","0","0","0","0","NaN","0","0","0","0","0","0","1","33.3","1","11.1","0","NaN","0","0","0","NaN","0","NaN"
"422","P16_J_TABLET_Mandar_mensajes","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","NaN","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","NaN","0","NaN"
"423","P16_J_TABLET_Jugar","7","63.6","6","66.7","1","50","7","63.6","0","NaN","1","100","6","60","0","NaN","7","63.6","0","NaN","7","63.6","1","33.3","6","75","1","20","6","100","0","NaN","4","80","1","50","0","NaN","2","50","0","NaN","0","NaN","0","NaN","3","60","3","60","1","100","0","0","0","NaN","1","50","1","100","3","100","2","66.7","5","55.6","0","NaN","2","100","0","NaN","0","NaN"
"424","P16_J_TABLET_O_r_m_sica","4","36.4","3","33.3","1","50","4","36.4","0","NaN","0","0","4","40","0","NaN","4","36.4","0","NaN","4","36.4","1","33.3","3","37.5","2","40","2","33.3","0","NaN","2","40","0","0","0","NaN","2","50","0","NaN","0","NaN","0","NaN","2","40","1","20","1","100","1","50","0","NaN","1","50","1","100","0","0","1","33.3","3","33.3","0","NaN","1","50","0","NaN","0","NaN"
"425","P16_J_TABLET_Buscar__informaci_n","4","36.4","2","22.2","2","100","4","36.4","0","NaN","0","0","4","40","0","NaN","4","36.4","0","NaN","4","36.4","2","66.7","2","25","2","40","2","33.3","0","NaN","1","20","1","50","0","NaN","2","50","0","NaN","0","NaN","0","NaN","1","20","3","60","0","0","0","0","0","NaN","1","50","1","100","0","0","2","66.7","4","44.4","0","NaN","0","0","0","NaN","0","NaN"
"426","P16_J_TABLET_Tomar_fotos","3","27.3","2","22.2","1","50","3","27.3","0","NaN","0","0","3","30","0","NaN","3","27.3","0","NaN","3","27.3","1","33.3","2","25","1","20","2","33.3","0","NaN","2","40","0","0","0","NaN","1","25","0","NaN","0","NaN","0","NaN","2","40","1","20","0","0","0","0","0","NaN","1","50","1","100","1","33.3","0","0","3","33.3","0","NaN","0","0","0","NaN","0","NaN"
"427","P16_J_TABLET_Mandar_mails","2","18.2","1","11.1","1","50","2","18.2","0","NaN","0","0","2","20","0","NaN","2","18.2","0","NaN","2","18.2","1","33.3","1","12.5","0","0","2","33.3","0","NaN","1","20","0","0","0","NaN","1","25","0","NaN","0","NaN","0","NaN","0","0","2","40","0","0","0","0","0","NaN","0","0","1","100","0","0","1","33.3","2","22.2","0","NaN","0","0","0","NaN","0","NaN"
"428","P16_J_TABLET_Ver__TV","2","18.2","2","22.2","0","0","2","18.2","0","NaN","0","0","2","20","0","NaN","2","18.2","0","NaN","2","18.2","0","0","2","25","1","20","1","16.7","0","NaN","1","20","0","0","0","NaN","1","25","0","NaN","0","NaN","0","NaN","2","40","0","0","0","0","1","50","0","NaN","0","0","0","0","1","33.3","0","0","2","22.2","0","NaN","0","0","0","NaN","0","NaN"
"429","P16_J_TABLET_Ver_pel_culas","3","27.3","3","33.3","0","0","3","27.3","0","NaN","0","0","3","30","0","NaN","3","27.3","0","NaN","3","27.3","1","33.3","2","25","1","20","2","33.3","0","NaN","2","40","0","0","0","NaN","1","25","0","NaN","0","NaN","0","NaN","2","40","1","20","0","0","1","50","0","NaN","0","0","1","100","1","33.3","0","0","3","33.3","0","NaN","0","0","0","NaN","0","NaN"
"430","P16_J_TABLET_Ver_videos","4","36.4","3","33.3","1","50","4","36.4","0","NaN","0","0","4","40","0","NaN","4","36.4","0","NaN","4","36.4","1","33.3","3","37.5","1","20","3","50","0","NaN","2","40","0","0","0","NaN","2","50","0","NaN","0","NaN","0","NaN","2","40","2","40","0","0","1","50","0","NaN","0","0","1","100","1","33.3","1","33.3","4","44.4","0","NaN","0","0","0","NaN","0","NaN"
"431","P16_J_TABLET_Entrar_a_redes_sociales","3","27.3","3","33.3","0","0","3","27.3","0","NaN","0","0","3","30","0","NaN","3","27.3","0","NaN","3","27.3","1","33.3","2","25","1","20","2","33.3","0","NaN","1","20","1","50","0","NaN","1","25","0","NaN","0","NaN","0","NaN","2","40","1","20","0","0","1","50","0","NaN","1","50","1","100","0","0","0","0","3","33.3","0","NaN","0","0","0","NaN","0","NaN"
"432","P16_J_TABLET_Para_trabajar","1","9.1","0","0","1","50","1","9.1","0","NaN","0","0","1","10","0","NaN","1","9.1","0","NaN","1","9.1","0","0","1","12.5","0","0","1","16.7","0","NaN","0","0","0","0","0","NaN","1","25","0","NaN","0","NaN","0","NaN","0","0","1","20","0","0","0","0","0","NaN","0","0","0","0","0","0","1","33.3","1","11.1","0","NaN","0","0","0","NaN","0","NaN"
"433","P16_J_TABLET_Para_leer","1","9.1","0","0","1","50","1","9.1","0","NaN","0","0","1","10","0","NaN","1","9.1","0","NaN","1","9.1","0","0","1","12.5","0","0","1","16.7","0","NaN","0","0","0","0","0","NaN","1","25","0","NaN","0","NaN","0","NaN","0","0","1","20","0","0","0","0","0","NaN","0","0","0","0","0","0","1","33.3","1","11.1","0","NaN","0","0","0","NaN","0","NaN"
"434","P16_J_TABLET_Hacer_tareas___trabajos_____dd","2","18.2","1","11.1","1","50","2","18.2","0","NaN","0","0","2","20","0","NaN","2","18.2","0","NaN","2","18.2","1","33.3","1","12.5","0","0","2","33.3","0","NaN","1","20","0","0","0","NaN","1","25","0","NaN","0","NaN","0","NaN","0","0","2","40","0","0","0","0","0","NaN","0","0","1","100","0","0","1","33.3","2","22.2","0","NaN","0","0","0","NaN","0","NaN"
"435","P16_J_TABLET_Otra__Especificar","1","9.1","1","11.1","0","0","1","9.1","0","NaN","0","0","1","10","0","NaN","1","9.1","0","NaN","1","9.1","1","33.3","0","0","1","20","0","0","0","NaN","1","20","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","1","20","0","0","1","50","0","NaN","0","0","0","0","0","0","0","0","1","11.1","0","NaN","0","0","0","NaN","0","NaN"
"436","Total","11","100","9","100","2","100","11","100","0","NaN","1","100","10","100","0","NaN","11","100","0","NaN","11","100","3","100","8","100","5","100","6","100","0","NaN","5","100","2","100","0","NaN","4","100","0","NaN","0","NaN","0","NaN","5","100","5","100","1","100","2","100","0","NaN","2","100","1","100","3","100","3","100","9","100","0","NaN","2","100","0","NaN","0","NaN"
"437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"438","P16j_COMPU","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"439","P16_J_COMPU_Hablar_por_tel_fono","1","5","1","7.1","0","0","0","0","1","5.3","1","5","0","NaN","0","0","1","5.3","0","0","1","5.9","0","NaN","1","5","1","11.1","0","0","0","NaN","0","0","1","20","0","0","0","0","0","0","0","NaN","1","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","100","0","0","0","NaN","1","12.5","0","NaN","0","NaN"
"440","P16_J_COMPU_Mandar_mensajes","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","NaN","0","NaN"
"441","P16_J_COMPU_Jugar","15","75","12","85.7","3","50","1","100","14","73.7","15","75","0","NaN","0","0","15","78.9","3","100","12","70.6","0","NaN","15","75","6","66.7","9","81.8","0","NaN","5","100","5","100","3","60","1","25","1","100","0","NaN","1","33.3","7","77.8","7","100","0","0","0","0","4","80","3","100","1","33.3","6","85.7","1","100","10","83.3","0","NaN","5","62.5","0","NaN","0","NaN"
"442","P16_J_COMPU_O_r_m_sica","6","30","3","21.4","3","50","0","0","6","31.6","6","30","0","NaN","0","0","6","31.6","1","33.3","5","29.4","0","NaN","6","30","4","44.4","2","18.2","0","NaN","0","0","3","60","1","20","2","50","0","0","0","NaN","2","66.7","1","11.1","3","42.9","0","0","0","0","1","20","1","33.3","2","66.7","1","14.3","1","100","4","33.3","0","NaN","2","25","0","NaN","0","NaN"
"443","P16_J_COMPU_Buscar__informaci_n","4","20","2","14.3","2","33.3","0","0","4","21.1","4","20","0","NaN","0","0","4","21.1","0","0","4","23.5","0","NaN","4","20","3","33.3","1","9.1","0","NaN","0","0","2","40","0","0","2","50","0","0","0","NaN","2","66.7","1","11.1","1","14.3","0","0","0","0","1","20","1","33.3","1","33.3","0","0","1","100","1","8.3","0","NaN","3","37.5","0","NaN","0","NaN"
"444","P16_J_COMPU_Tomar_fotos","1","5","1","7.1","0","0","0","0","1","5.3","1","5","0","NaN","0","0","1","5.3","0","0","1","5.9","0","NaN","1","5","0","0","1","9.1","0","NaN","1","20","0","0","0","0","0","0","0","0","0","NaN","0","0","1","11.1","0","0","0","0","0","0","0","0","1","33.3","0","0","0","0","0","0","1","8.3","0","NaN","0","0","0","NaN","0","NaN"
"445","P16_J_COMPU_Mandar_mails","2","10","2","14.3","0","0","0","0","2","10.5","2","10","0","NaN","0","0","2","10.5","1","33.3","1","5.9","0","NaN","2","10","1","11.1","1","9.1","0","NaN","1","20","0","0","1","20","0","0","0","0","0","NaN","0","0","1","11.1","1","14.3","0","0","0","0","0","0","1","33.3","0","0","1","14.3","0","0","2","16.7","0","NaN","0","0","0","NaN","0","NaN"
"446","P16_J_COMPU_Ver__TV","1","5","1","7.1","0","0","0","0","1","5.3","1","5","0","NaN","0","0","1","5.3","0","0","1","5.9","0","NaN","1","5","0","0","1","9.1","0","NaN","1","20","0","0","0","0","0","0","0","0","0","NaN","0","0","1","11.1","0","0","0","0","0","0","0","0","1","33.3","0","0","0","0","0","0","1","8.3","0","NaN","0","0","0","NaN","0","NaN"
"447","P16_J_COMPU_Ver_pel_culas","11","55","8","57.1","3","50","0","0","11","57.9","11","55","0","NaN","1","100","10","52.6","1","33.3","10","58.8","0","NaN","11","55","7","77.8","4","36.4","0","NaN","2","40","3","60","2","40","4","100","0","0","0","NaN","2","66.7","5","55.6","3","42.9","1","100","1","100","1","20","2","66.7","3","100","3","42.9","1","100","7","58.3","0","NaN","4","50","0","NaN","0","NaN"
"448","P16_J_COMPU_Ver_videos","9","45","6","42.9","3","50","0","0","9","47.4","9","45","0","NaN","1","100","8","42.1","1","33.3","8","47.1","0","NaN","9","45","6","66.7","3","27.3","0","NaN","2","40","2","40","2","40","3","75","0","0","0","NaN","1","33.3","3","33.3","4","57.1","1","100","0","0","2","40","1","33.3","3","100","3","42.9","0","0","5","41.7","0","NaN","4","50","0","NaN","0","NaN"
"449","P16_J_COMPU_Entrar_a_redes_sociales","2","10","2","14.3","0","0","0","0","2","10.5","2","10","0","NaN","0","0","2","10.5","1","33.3","1","5.9","0","NaN","2","10","2","22.2","0","0","0","NaN","0","0","1","20","1","20","0","0","0","0","0","NaN","1","33.3","0","0","1","14.3","0","0","0","0","0","0","0","0","0","0","1","14.3","1","100","1","8.3","0","NaN","1","12.5","0","NaN","0","NaN"
"450","P16_J_COMPU_Para_trabajar","1","5","1","7.1","0","0","0","0","1","5.3","1","5","0","NaN","0","0","1","5.3","0","0","1","5.9","0","NaN","1","5","1","11.1","0","0","0","NaN","0","0","1","20","0","0","0","0","0","0","0","NaN","1","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","100","0","0","0","NaN","1","12.5","0","NaN","0","NaN"
"451","P16_J_COMPU_Para_leer","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","NaN","0","NaN"
"452","P16_J_COMPU_Hacer_tareas___trabajos_____dd","2","10","1","7.1","1","16.7","0","0","2","10.5","2","10","0","NaN","0","0","2","10.5","0","0","2","11.8","0","NaN","2","10","1","11.1","1","9.1","0","NaN","0","0","1","20","0","0","1","25","0","0","0","NaN","1","33.3","0","0","1","14.3","0","0","0","0","0","0","0","0","2","66.7","0","0","0","0","1","8.3","0","NaN","1","12.5","0","NaN","0","NaN"
"453","P16_J_COMPU_Otra__Especificar","1","5","0","0","1","16.7","0","0","1","5.3","1","5","0","NaN","0","0","1","5.3","0","0","1","5.9","0","NaN","1","5","0","0","1","9.1","0","NaN","0","0","0","0","1","20","0","0","0","0","0","NaN","1","33.3","0","0","0","0","0","0","0","0","1","20","0","0","0","0","0","0","0","0","0","0","0","NaN","1","12.5","0","NaN","0","NaN"
"454","Total","20","100","14","100","6","100","1","100","19","100","20","100","0","NaN","1","100","19","100","3","100","17","100","0","NaN","20","100","9","100","11","100","0","NaN","5","100","5","100","5","100","4","100","1","100","0","NaN","3","100","9","100","7","100","1","100","1","100","5","100","3","100","3","100","7","100","1","100","12","100","0","NaN","8","100","0","NaN","0","NaN"
"455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"456","P17_CEL","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"457","Yo lo compré","777","69.7","777","69.7","0","NaN","20","64.5","757","69.8","59","68.6","718","69.8","0","NaN","777","69.7","67","74.4","710","69.3","114","73.5","663","69.1","331","60.1","446","79.1","0","NaN","152","72.7","160","72.7","190","72.2","164","65.6","111","64.2","0","NaN","124","51.5","324","78.6","227","79.9","102","57.3","171","72.2","141","78.8","93","58.5","123","67.2","123","69.5","126","70","305","71.1","224","73.7","69","74.2","179","61.9","0","NaN"
