"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61","NA62","NA63","NA64","NA65","NA66","NA67","NA68","NA69","NA70","NA71","NA72","NA73","NA74","NA75"
"25","P10_TABLET","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"26","TRUE","134","11.7","121","10.9","13","38.2","44","100","90","8.1","19","17.8","115","11","0","0","134","11.7","90","100","44","4.2","30","19.2","104","10.5","69","12.1","65","11.2","0","NaN","37","17.3","30","13","35","13","24","9.2","8","4.6","0","NaN","34","13.5","51","12","38","13.1","11","6","26","10.8","10","5.4","15","8.8","19","10.2","36","19.7","28","15.5","60","13.6","32","10.3","8","8.1","34","11.4","0","NaN"
"27","FALSE","1015","88.3","994","89.1","21","61.8","0","0","1015","91.9","88","82.2","927","89","2","100","1013","88.3","0","0","1015","95.8","126","80.8","889","89.5","500","87.9","515","88.8","0","NaN","177","82.7","200","87","235","87","237","90.8","166","95.4","0","NaN","217","86.5","374","88","253","86.9","171","94","215","89.2","176","94.6","156","91.2","168","89.8","147","80.3","153","84.5","380","86.4","280","89.7","91","91.9","264","88.6","0","NaN"
"28","Total","1149","100","1115","100","34","100","44","100","1105","100","107","100","1042","100","2","100","1147","100","90","100","1059","100","156","100","993","100","569","100","580","100","0","NaN","214","100","230","100","270","100","261","100","174","100","0","NaN","251","100","425","100","291","100","182","100","241","100","186","100","171","100","187","100","183","100","181","100","440","100","312","100","99","100","298","100","0","NaN"
"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30","P10_COMPU","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"31","TRUE","263","22.9","241","21.6","22","64.7","18","40.9","245","22.2","107","100","156","15","2","100","261","22.8","31","34.4","232","21.9","156","100","107","10.8","131","23","132","22.8","0","NaN","103","48.1","61","26.5","52","19.3","35","13.4","12","6.9","0","NaN","72","28.7","89","20.9","70","24.1","32","17.6","60","24.9","35","18.8","35","20.5","50","26.7","47","25.7","36","19.9","106","24.1","47","15.1","21","21.2","89","29.9","0","NaN"
"32","FALSE","886","77.1","874","78.4","12","35.3","26","59.1","860","77.8","0","0","886","85","0","0","886","77.2","59","65.6","827","78.1","0","0","886","89.2","438","77","448","77.2","0","NaN","111","51.9","169","73.5","218","80.7","226","86.6","162","93.1","0","NaN","179","71.3","336","79.1","221","75.9","150","82.4","181","75.1","151","81.2","136","79.5","137","73.3","136","74.3","145","80.1","334","75.9","265","84.9","78","78.8","209","70.1","0","NaN"
"33","Total","1149","100","1115","100","34","100","44","100","1105","100","107","100","1042","100","2","100","1147","100","90","100","1059","100","156","100","993","100","569","100","580","100","0","NaN","214","100","230","100","270","100","261","100","174","100","0","NaN","251","100","425","100","291","100","182","100","241","100","186","100","171","100","187","100","183","100","181","100","440","100","312","100","99","100","298","100","0","NaN"
"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
