"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"25","P10_TABLET","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"26","TRUE","44","100","24","100","20","100","0","NaN","14","100","11","100","8","100","11","100","0","NaN","0","NaN","13","100","17","100","10","100","4","100","12","100","1","100","8","100","5","100","12","100","6","100","14","100","10","100","4","100","16","100","0","NaN"
"27","FALSE","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"28","Total","44","100","24","100","20","100","0","NaN","14","100","11","100","8","100","11","100","0","NaN","0","NaN","13","100","17","100","10","100","4","100","12","100","1","100","8","100","5","100","12","100","6","100","14","100","10","100","4","100","16","100","0","NaN"
"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30","P10_COMPU","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"31","TRUE","18","40.9","10","41.7","8","40","0","NaN","8","57.1","5","45.5","3","37.5","2","18.2","0","NaN","0","NaN","7","53.8","5","29.4","5","50","1","25","7","58.3","0","0","0","0","3","60","7","58.3","1","16.7","4","28.6","3","30","2","50","9","56.2","0","NaN"
"32","FALSE","26","59.1","14","58.3","12","60","0","NaN","6","42.9","6","54.5","5","62.5","9","81.8","0","NaN","0","NaN","6","46.2","12","70.6","5","50","3","75","5","41.7","1","100","8","100","2","40","5","41.7","5","83.3","10","71.4","7","70","2","50","7","43.8","0","NaN"
"33","Total","44","100","24","100","20","100","0","NaN","14","100","11","100","8","100","11","100","0","NaN","0","NaN","13","100","17","100","10","100","4","100","12","100","1","100","8","100","5","100","12","100","6","100","14","100","10","100","4","100","16","100","0","NaN"
"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35","P10_1_CEL","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"36","1","7","22.6","2","11.8","5","35.7","0","NaN","2","15.4","1","14.3","2","40","2","33.3","0","NaN","0","NaN","1","10","3","25","2","33.3","1","33.3","0","0","0","NaN","0","0","0","0","7","63.6","0","0","2","22.2","3","50","2","66.7","0","0","0","NaN"
"37","2","8","25.8","6","35.3","2","14.3","0","NaN","3","23.1","2","28.6","1","20","2","33.3","0","NaN","0","NaN","1","10","4","33.3","2","33.3","1","33.3","3","30","0","NaN","0","0","0","0","2","18.2","3","60","2","22.2","3","50","1","33.3","2","15.4","0","NaN"
"38","3","9","29","6","35.3","3","21.4","0","NaN","4","30.8","3","42.9","2","40","0","0","0","NaN","0","NaN","3","30","4","33.3","2","33.3","0","0","2","20","0","NaN","2","100","2","66.7","1","9.1","2","40","4","44.4","0","0","0","0","5","38.5","0","NaN"
"39","4 o más","7","22.6","3","17.6","4","28.6","0","NaN","4","30.8","1","14.3","0","0","2","33.3","0","NaN","0","NaN","5","50","1","8.3","0","0","1","33.3","5","50","0","NaN","0","0","1","33.3","1","9.1","0","0","1","11.1","0","0","0","0","6","46.2","0","NaN"
