"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"35","P10_1_CEL","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"36","1","31","35.2","17","37","14","33.3","0","NaN","17","40.5","9","42.9","3","20","1","14.3","1","33.3","0","NaN","9","30","16","44.4","4","28.6","2","25","2","13.3","3","27.3","3","27.3","7","41.2","11","45.8","5","50","2","11.8","4","22.2","6","75","19","42.2","0","NaN"
"37","2","24","27.3","11","23.9","13","31","0","NaN","10","23.8","7","33.3","5","33.3","0","0","2","66.7","0","NaN","8","26.7","8","22.2","3","21.4","5","62.5","3","20","2","18.2","4","36.4","6","35.3","6","25","3","30","4","23.5","13","72.2","1","12.5","6","13.3","0","NaN"
"38","3","25","28.4","13","28.3","12","28.6","0","NaN","11","26.2","4","19","5","33.3","5","71.4","0","0","0","NaN","10","33.3","10","27.8","4","28.6","1","12.5","7","46.7","5","45.5","4","36.4","4","23.5","3","12.5","2","20","8","47.1","1","5.6","1","12.5","15","33.3","0","NaN"
"39","4 o más","8","9.1","5","10.9","3","7.1","0","NaN","4","9.5","1","4.8","2","13.3","1","14.3","0","0","0","NaN","3","10","2","5.6","3","21.4","0","0","3","20","1","9.1","0","0","0","0","4","16.7","0","0","3","17.6","0","0","0","0","5","11.1","0","NaN"
"40","Total","88","100","46","100","42","100","0","NaN","42","100","21","100","15","100","7","100","3","100","0","NaN","30","100","36","100","14","100","8","100","15","100","11","100","11","100","17","100","24","100","10","100","17","100","18","100","8","100","45","100","0","NaN"
"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42","P10_1_TABLET","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"43","1","14","73.7","7","63.6","7","87.5","0","NaN","6","85.7","2","40","4","80","1","100","1","100","0","NaN","6","100","4","66.7","3","60","1","50","3","75","1","100","2","100","1","50","7","70","0","NaN","4","66.7","1","33.3","2","100","7","87.5","0","NaN"
"44","2","5","26.3","4","36.4","1","12.5","0","NaN","1","14.3","3","60","1","20","0","0","0","0","0","NaN","0","0","2","33.3","2","40","1","50","1","25","0","0","0","0","1","50","3","30","0","NaN","2","33.3","2","66.7","0","0","1","12.5","0","NaN"
