"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35","P10_1_CEL","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"36","1","17","11","10","13.3","7","8.8","0","NaN","5","8.6","4","11.8","7","21.2","1","4.5","0","0","0","NaN","2","5.9","6","12.8","7","13.2","2","9.5","1","2.4","1","5.6","6","33.3","3","9.7","3","15","3","11.5","8","9.6","4","16","2","22.2","3","7.9","0","NaN"
"37","2","66","42.6","32","42.7","34","42.5","0","NaN","24","41.4","11","32.4","12","36.4","13","59.1","6","75","0","NaN","9","26.5","28","59.6","24","45.3","5","23.8","19","45.2","10","55.6","3","16.7","14","45.2","10","50","10","38.5","35","42.2","20","80","4","44.4","7","18.4","0","NaN"
"38","3","38","24.5","13","17.3","25","31.2","0","NaN","10","17.2","15","44.1","7","21.2","5","22.7","1","12.5","0","NaN","10","29.4","8","17","14","26.4","6","28.6","11","26.2","4","22.2","4","22.2","8","25.8","5","25","6","23.1","25","30.1","0","0","1","11.1","12","31.6","0","NaN"
"39","4 o más","34","21.9","20","26.7","14","17.5","0","NaN","19","32.8","4","11.8","7","21.2","3","13.6","1","12.5","0","NaN","13","38.2","5","10.6","8","15.1","8","38.1","11","26.2","3","16.7","5","27.8","6","19.4","2","10","7","26.9","15","18.1","1","4","2","22.2","16","42.1","0","NaN"
"40","Total","155","100","75","100","80","100","0","NaN","58","100","34","100","33","100","22","100","8","100","0","NaN","34","100","47","100","53","100","21","100","42","100","18","100","18","100","31","100","20","100","26","100","83","100","25","100","9","100","38","100","0","NaN"
"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42","P10_1_TABLET","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"43","1","24","80","13","81.2","11","78.6","0","NaN","9","64.3","5","83.3","8","100","2","100","0","NaN","0","NaN","8","88.9","8","100","7","63.6","1","50","7","87.5","1","50","1","100","7","77.8","4","100","4","66.7","8","61.5","4","100","1","100","11","91.7","0","NaN"
