"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"27","Guadalajara","183","16.4","107","19.4","76","13.5","0","NaN","28","13.4","35","15.9","60","22.8","38","15.2","22","12.7","0","NaN","41","17","54","13.1","53","18.7","35","19.7","0","0","0","0","0","0","183","100","0","0","0","0","73","17","58","19.1","11","11.8","41","14.2","0","NaN"
"28","Puebla","177","15.9","84","15.2","93","16.5","0","NaN","23","11","33","15","37","14.1","41","16.4","43","24.9","0","NaN","47","19.5","55","13.3","46","16.2","29","16.3","0","0","0","0","0","0","0","0","177","100","0","0","77","17.9","47","15.5","14","15.1","39","13.5","0","NaN"
"29","Mérida","180","16.1","80","14.5","100","17.7","0","NaN","40","19.1","34","15.5","28","10.6","43","17.2","35","20.2","0","NaN","35","14.5","73","17.7","41","14.4","31","17.4","0","0","0","0","0","0","0","0","0","0","180","100","72","16.8","53","17.4","22","23.7","33","11.4","0","NaN"
"30","Total","1115","100","551","100","564","100","0","NaN","209","100","220","100","263","100","250","100","173","100","0","NaN","241","100","412","100","284","100","178","100","237","100","179","100","159","100","183","100","177","100","180","100","429","100","304","100","93","100","289","100","0","NaN"
"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32","edoCivilHijos","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"33","Casado con hijos","429","38.5","198","35.9","231","41","0","NaN","79","37.8","83","37.7","108","41.1","96","38.4","63","36.4","0","NaN","27","11.2","137","33.3","154","54.2","111","62.4","81","34.2","63","35.2","63","39.6","73","39.9","77","43.5","72","40","429","100","0","0","0","0","0","0","0","NaN"
"34","Casado sin hijos","304","27.3","154","27.9","150","26.6","0","NaN","44","21.1","53","24.1","67","25.5","85","34","55","31.8","0","NaN","56","23.2","139","33.7","81","28.5","28","15.7","49","20.7","51","28.5","46","28.9","58","31.7","47","26.6","53","29.4","0","0","304","100","0","0","0","0","0","NaN"
"35","Soltero con Hijos","93","8.3","50","9.1","43","7.6","0","NaN","18","8.6","20","9.1","21","8","14","5.6","20","11.6","0","NaN","9","3.7","30","7.3","23","8.1","31","17.4","18","7.6","24","13.4","4","2.5","11","6","14","7.9","22","12.2","0","0","0","0","93","100","0","0","0","NaN"
"36","Soltero sin HIjos","289","25.9","149","27","140","24.8","0","NaN","68","32.5","64","29.1","67","25.5","55","22","35","20.2","0","NaN","149","61.8","106","25.7","26","9.2","8","4.5","89","37.6","41","22.9","46","28.9","41","22.4","39","22","33","18.3","0","0","0","0","0","0","289","100","0","NaN"
"37","No contestó","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"38","Total","1115","100","551","100","564","100","0","NaN","209","100","220","100","263","100","250","100","173","100","0","NaN","241","100","412","100","284","100","178","100","237","100","179","100","159","100","183","100","177","100","180","100","429","100","304","100","93","100","289","100","0","NaN"
"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
